Waypoint,Zone,Lat,Long,Site,Season,Tide_time,Tide,Time,Temp_in,Salinity,Phosphate,pH,TA,percent_sgd,Variables,Values,mean_of_values
1,Transition,21.27531,-157.76181,W,FALL,Low_Day,Low,Day,25.46666036,32.33384864,0.19,8.094,2219.095298,6.900516796,Silicate,53.41,24.96975
1,Transition,21.27531,-157.76181,W,FALL,Low_Day,Low,Day,25.46666036,32.33384864,0.19,8.094,2219.095298,6.900516796,NN,1.02,2.604625
2,Transition,21.27523,-157.76265,W,FALL,Low_Day,Low,Day,24.83646091,29.68899134,0.38,8.096,2180.930839,14.67571059,Silicate,113.59,24.96975
2,Transition,21.27523,-157.76265,W,FALL,Low_Day,Low,Day,24.83646091,29.68899134,0.38,8.096,2180.930839,14.67571059,NN,5.83,2.604625
3,Transition,21.27504,-157.76328,W,FALL,Low_Day,Low,Day,25.26714707,31.27467514,0.27,8.192,2199.619975,10.01421189,Silicate,77.51,24.96975
3,Transition,21.27504,-157.76328,W,FALL,Low_Day,Low,Day,25.26714707,31.27467514,0.27,8.192,2199.619975,10.01421189,NN,2.45,2.604625
4,Transition,21.27449,-157.76402,W,FALL,Low_Day,Low,Day,25.90683954,34.25750108,0.08,8.149,2245.963283,1.245478036,Silicate,9.64,24.96975
4,Transition,21.27449,-157.76402,W,FALL,Low_Day,Low,Day,25.90683954,34.25750108,0.08,8.149,2245.963283,1.245478036,NN,0.27,2.604625
5,Diffuse,21.27503,-157.7617,W,FALL,Low_Day,Low,Day,25.21517828,32.71840333,0.19,8.083,2212.273427,5.77002584,Silicate,44.66,24.96975
5,Diffuse,21.27503,-157.7617,W,FALL,Low_Day,Low,Day,25.21517828,32.71840333,0.19,8.083,2212.273427,5.77002584,NN,1.33,2.604625
6,Diffuse,21.27485,-157.76234,W,FALL,Low_Day,Low,Day,25.82009286,34.21926536,0.09,8.109,2244.687113,1.357881137,Silicate,10.51,24.96975
6,Diffuse,21.27485,-157.76234,W,FALL,Low_Day,Low,Day,25.82009286,34.21926536,0.09,8.109,2244.687113,1.357881137,NN,0.29,2.604625
7,Diffuse,21.27463,-157.76318,W,FALL,Low_Day,Low,Day,25.76804737,34.49526575,0.07,8.088,2256.437492,0.546511628,Silicate,4.23,24.96975
7,Diffuse,21.27463,-157.76318,W,FALL,Low_Day,Low,Day,25.76804737,34.49526575,0.07,8.088,2256.437492,0.546511628,NN,0.21,2.604625
8,Diffuse,21.27436,-157.76364,W,FALL,Low_Day,Low,Day,25.83356331,34.50361608,0.06,8.077,2247.179605,0.521963824,Silicate,4.04,24.96975
8,Diffuse,21.27436,-157.76364,W,FALL,Low_Day,Low,Day,25.83356331,34.50361608,0.06,8.077,2247.179605,0.521963824,NN,0.17,2.604625
9,Diffuse,21.27456,-157.76126,W,FALL,Low_Day,Low,Day,26.78995211,34.49746321,0.05,8.03,2242.012856,0.54005168,Silicate,4.18,24.96975
9,Diffuse,21.27456,-157.76126,W,FALL,Low_Day,Low,Day,26.78995211,34.49746321,0.05,8.03,2242.012856,0.54005168,NN,0.17,2.604625
10,Diffuse,21.27427,-157.76208,W,FALL,Low_Day,Low,Day,26.08314479,34.54976265,0.04,8.072,2240.889093,0.38630491,Silicate,2.99,24.96975
10,Diffuse,21.27427,-157.76208,W,FALL,Low_Day,Low,Day,26.08314479,34.54976265,0.04,8.072,2240.889093,0.38630491,NN,0.25,2.604625
11,Diffuse,21.27399,-157.76295,W,FALL,Low_Day,Low,Day,25.95708185,34.57569262,0.06,8.042,2239.283896,0.310077519,Silicate,2.4,24.96975
11,Diffuse,21.27399,-157.76295,W,FALL,Low_Day,Low,Day,25.95708185,34.57569262,0.06,8.042,2239.283896,0.310077519,NN,0.14,2.604625
12,Diffuse,21.27377,-157.76344,W,FALL,Low_Day,Low,Day,25.89532258,34.57832957,0.1,8.048,2254.849699,0.302325581,Silicate,2.34,24.96975
12,Diffuse,21.27377,-157.76344,W,FALL,Low_Day,Low,Day,25.89532258,34.57832957,0.1,8.048,2254.849699,0.302325581,NN,0.18,2.604625
13,Ambient,21.27353,-157.76089,W,FALL,Low_Day,Low,Day,26.48281306,34.60953343,0.07,8.091,2266.405711,0.210594315,Silicate,1.63,24.96975
13,Ambient,21.27353,-157.76089,W,FALL,Low_Day,Low,Day,26.48281306,34.60953343,0.07,8.091,2266.405711,0.210594315,NN,0.13,2.604625
14,Ambient,21.27328,-157.76164,W,FALL,Low_Day,Low,Day,26.1885656,34.58843786,0.08,8.086,2249.929778,0.272609819,Silicate,2.11,24.96975
14,Ambient,21.27328,-157.76164,W,FALL,Low_Day,Low,Day,26.1885656,34.58843786,0.08,8.086,2249.929778,0.272609819,NN,0.17,2.604625
15,Ambient,21.27309,-157.76244,W,FALL,Low_Day,Low,Day,25.90139646,34.58536142,0.09,8.077,2268.266354,0.281653747,Silicate,2.18,24.96975
15,Ambient,21.27309,-157.76244,W,FALL,Low_Day,Low,Day,25.90139646,34.58536142,0.09,8.077,2268.266354,0.281653747,NN,0.13,2.604625
16,Ambient,21.27288,-157.76306,W,FALL,Low_Day,Low,Day,25.91379523,34.59195379,0.06,8.023,2273.234331,0.262273902,Silicate,2.03,24.96975
16,Ambient,21.27288,-157.76306,W,FALL,Low_Day,Low,Day,25.91379523,34.59195379,0.06,8.023,2273.234331,0.262273902,NN,0.1,2.604625
17,Ambient,21.27254,-157.76073,W,FALL,Low_Day,Low,Day,26.7705343,34.60294107,0.09,8.169,2238.606606,0.22997416,Silicate,1.78,24.96975
17,Ambient,21.27254,-157.76073,W,FALL,Low_Day,Low,Day,26.7705343,34.60294107,0.09,8.169,2238.606606,0.22997416,NN,0.13,2.604625
18,Ambient,21.27214,-157.76118,W,FALL,Low_Day,Low,Day,26.93993178,34.61788376,0.1,8.139,2243.843064,0.186046512,Silicate,1.44,24.96975
18,Ambient,21.27214,-157.76118,W,FALL,Low_Day,Low,Day,26.93993178,34.61788376,0.1,8.139,2243.843064,0.186046512,NN,0.11,2.604625
19,Ambient,21.27206,-157.76196,W,FALL,Low_Day,Low,Day,27.40983169,34.59766717,0.1,8.113,2246.937582,0.245478036,Silicate,1.9,24.96975
19,Ambient,21.27206,-157.76196,W,FALL,Low_Day,Low,Day,27.40983169,34.59766717,0.1,8.113,2246.937582,0.245478036,NN,0.1,2.604625
20,Ambient,21.27185,-157.76279,W,FALL,Low_Day,Low,Day,27.8797316,34.59766717,0.1,8.045,2263.827588,0.245478036,Silicate,1.9,24.96975
20,Ambient,21.27185,-157.76279,W,FALL,Low_Day,Low,Day,27.8797316,34.59766717,0.1,8.045,2263.827588,0.245478036,NN,0.1,2.604625
1,Transition,21.27531,-157.76181,W,FALL,High_Day,High,Day,27.12962167,34.4882339,0.09,8.078,2245.104438,0.567183463,Silicate,4.39,4.252375
1,Transition,21.27531,-157.76181,W,FALL,High_Day,High,Day,27.12962167,34.4882339,0.09,8.078,2245.104438,0.567183463,NN,0.22,0.39575
2,Transition,21.27523,-157.76265,W,FALL,High_Day,High,Day,26.89176305,34.4438453,0.09,8.147,2240.358874,0.697674419,Silicate,5.4,4.252375
2,Transition,21.27523,-157.76265,W,FALL,High_Day,High,Day,26.89176305,34.4438453,0.09,8.147,2240.358874,0.697674419,NN,0.23,0.39575
3,Transition,21.27504,-157.76328,W,FALL,High_Day,High,Day,27.19561155,34.41527838,0.1,8.129,2226.132597,0.781653747,Silicate,6.05,4.252375
3,Transition,21.27504,-157.76328,W,FALL,High_Day,High,Day,27.19561155,34.41527838,0.1,8.129,2226.132597,0.781653747,NN,0.3,0.39575
4,Transition,21.27449,-157.76402,W,FALL,High_Day,High,Day,27.88902331,34.43945039,0.08,8.173,2220.053441,0.710594315,Silicate,5.5,4.252375
4,Transition,21.27449,-157.76402,W,FALL,High_Day,High,Day,27.88902331,34.43945039,0.08,8.173,2220.053441,0.710594315,NN,0.25,0.39575
5,Diffuse,21.27503,-157.7617,W,FALL,High_Day,High,Day,26.97355833,34.5225142,0.08,8.114,2253.270607,0.466408269,Silicate,3.61,4.252375
5,Diffuse,21.27503,-157.7617,W,FALL,High_Day,High,Day,26.97355833,34.5225142,0.08,8.114,2253.270607,0.466408269,NN,0.24,0.39575
6,Diffuse,21.27485,-157.76234,W,FALL,High_Day,High,Day,27.16259166,34.50317659,0.11,8.142,2231.928785,0.523255814,Silicate,4.05,4.252375
6,Diffuse,21.27485,-157.76234,W,FALL,High_Day,High,Day,27.16259166,34.50317659,0.11,8.142,2231.928785,0.523255814,NN,0.35,0.39575
7,Diffuse,21.27463,-157.76318,W,FALL,High_Day,High,Day,27.42211556,34.51592183,0.13,8.154,2227.731898,0.485788114,Silicate,3.76,4.252375
7,Diffuse,21.27463,-157.76318,W,FALL,High_Day,High,Day,27.42211556,34.51592183,0.13,8.154,2227.731898,0.485788114,NN,0.12,0.39575
8,Diffuse,21.27436,-157.76364,W,FALL,High_Day,High,Day,27.65231627,34.53965435,0.12,8.15,2238.532837,0.416020672,Silicate,3.22,4.252375
8,Diffuse,21.27436,-157.76364,W,FALL,High_Day,High,Day,27.65231627,34.53965435,0.12,8.15,2238.532837,0.416020672,NN,0.04,0.39575
9,Diffuse,21.27456,-157.76126,W,FALL,High_Day,High,Day,27.48360478,34.54668621,0.09,8.111,2234.152534,0.395348837,Silicate,3.06,4.252375
9,Diffuse,21.27456,-157.76126,W,FALL,High_Day,High,Day,27.48360478,34.54668621,0.09,8.111,2234.152534,0.395348837,NN,0.2,0.39575
10,Diffuse,21.27427,-157.76208,W,FALL,High_Day,High,Day,27.27202689,34.53789639,0.07,8.128,2219.513637,0.42118863,Silicate,3.26,4.252375
10,Diffuse,21.27427,-157.76208,W,FALL,High_Day,High,Day,27.27202689,34.53789639,0.07,8.128,2219.513637,0.42118863,NN,0.22,0.39575
11,Diffuse,21.27399,-157.76295,W,FALL,High_Day,High,Day,27.3170607,34.52910657,0.09,8.135,2206.974224,0.447028424,Silicate,3.46,4.252375
11,Diffuse,21.27399,-157.76295,W,FALL,High_Day,High,Day,27.3170607,34.52910657,0.09,8.135,2206.974224,0.447028424,NN,0.68,0.39575
12,Diffuse,21.27377,-157.76344,W,FALL,High_Day,High,Day,27.48468849,34.54317028,0.09,8.194,2231.540629,0.405684755,Silicate,3.14,4.252375
12,Diffuse,21.27377,-157.76344,W,FALL,High_Day,High,Day,27.48468849,34.54317028,0.09,8.194,2231.540629,0.405684755,NN,0.21,0.39575
13,Ambient,21.27353,-157.76089,W,FALL,High_Day,High,Day,27.68477446,34.57613211,0.08,8.199,2235.314033,0.30878553,Silicate,2.39,4.252375
13,Ambient,21.27353,-157.76089,W,FALL,High_Day,High,Day,27.68477446,34.57613211,0.08,8.199,2235.314033,0.30878553,NN,0.14,0.39575
14,Ambient,21.27328,-157.76164,W,FALL,High_Day,High,Day,27.50769411,34.58448244,0.08,8.171,2231.773561,0.284237726,Silicate,2.2,4.252375
14,Ambient,21.27328,-157.76164,W,FALL,High_Day,High,Day,27.50769411,34.58448244,0.08,8.171,2231.773561,0.284237726,NN,0.17,0.39575
15,Ambient,21.27309,-157.76244,W,FALL,High_Day,High,Day,27.34219822,34.5765716,0.08,8.152,2244.596967,0.30749354,Silicate,2.38,4.252375
15,Ambient,21.27309,-157.76244,W,FALL,High_Day,High,Day,27.34219822,34.5765716,0.08,8.152,2244.596967,0.30749354,NN,0.11,0.39575
16,Ambient,21.27288,-157.76306,W,FALL,High_Day,High,Day,27.43287305,34.55635501,0.1,8.141,2225.157422,0.366925065,Silicate,2.84,4.252375
16,Ambient,21.27288,-157.76306,W,FALL,High_Day,High,Day,27.43287305,34.55635501,0.1,8.141,2225.157422,0.366925065,NN,0.12,0.39575
17,Ambient,21.27254,-157.76073,W,FALL,High_Day,High,Day,27.22096664,34.60689649,0.12,8.17,2242.445381,0.218346253,Silicate,1.69,4.252375
17,Ambient,21.27254,-157.76073,W,FALL,High_Day,High,Day,27.22096664,34.60689649,0.12,8.17,2242.445381,0.218346253,NN,0.15,0.39575
18,Ambient,21.27214,-157.76118,W,FALL,High_Day,High,Day,27.39999941,34.60294107,0.11,8.165,2244.10175,0.22997416,Silicate,1.78,4.252375
18,Ambient,21.27214,-157.76118,W,FALL,High_Day,High,Day,27.39999941,34.60294107,0.11,8.165,2244.10175,0.22997416,NN,0.2,0.39575
19,Ambient,21.27206,-157.76196,W,FALL,High_Day,High,Day,27.94864676,34.61304936,0.15,8.112,2260.206592,0.200258398,Silicate,1.55,4.252375
19,Ambient,21.27206,-157.76196,W,FALL,High_Day,High,Day,27.94864676,34.61304936,0.15,8.112,2260.206592,0.200258398,NN,0.14,0.39575
20,Ambient,21.27185,-157.76279,W,FALL,High_Day,High,Day,28.49729411,34.59678819,0.12,8.139,2254.998379,0.248062016,Silicate,1.92,4.252375
