minutes,hour,date,Variables,Mean_Values
0,10,2021-01-15T10:00:00Z,Depth,0.241
0,10,2021-01-15T10:00:00Z,Salinity,34.35716765
0,10,2021-01-15T10:00:00Z,Temperature,29.12
0,10,2021-01-15T10:00:10Z,Depth,0.25
0,10,2021-01-15T10:00:10Z,Salinity,34.31925118
0,10,2021-01-15T10:00:10Z,Temperature,29.14
0,10,2021-01-15T10:00:20Z,Depth,0.257
0,10,2021-01-15T10:00:20Z,Salinity,34.29234112
0,10,2021-01-15T10:00:20Z,Temperature,29.14
0,10,2021-01-15T10:00:30Z,Depth,0.277
0,10,2021-01-15T10:00:30Z,Salinity,34.33945958
0,10,2021-01-15T10:00:30Z,Temperature,29.14
0,10,2021-01-15T10:00:40Z,Depth,0.277
0,10,2021-01-15T10:00:40Z,Salinity,34.32009144
0,10,2021-01-15T10:00:40Z,Temperature,29.12
0,10,2021-01-15T10:00:50Z,Depth,0.276
0,10,2021-01-15T10:00:50Z,Salinity,34.32009178
0,10,2021-01-15T10:00:50Z,Temperature,29.12
0,11,2021-01-15T11:00:00Z,Depth,0.248
0,11,2021-01-15T11:00:00Z,Salinity,33.43193533
0,11,2021-01-15T11:00:00Z,Temperature,29.42
0,11,2021-01-15T11:00:10Z,Depth,0.255
0,11,2021-01-15T11:00:10Z,Salinity,33.47081329
0,11,2021-01-15T11:00:10Z,Temperature,29.42
0,11,2021-01-15T11:00:20Z,Depth,0.255
0,11,2021-01-15T11:00:20Z,Salinity,33.461116
0,11,2021-01-15T11:00:20Z,Temperature,29.42
0,11,2021-01-15T11:00:30Z,Depth,0.272
0,11,2021-01-15T11:00:30Z,Salinity,33.50150351
0,11,2021-01-15T11:00:30Z,Temperature,29.39
0,11,2021-01-15T11:00:40Z,Depth,0.231
0,11,2021-01-15T11:00:40Z,Salinity,33.50150386
0,11,2021-01-15T11:00:40Z,Temperature,29.39
0,11,2021-01-15T11:00:50Z,Depth,0.221
0,11,2021-01-15T11:00:50Z,Salinity,33.50191547
0,11,2021-01-15T11:00:50Z,Temperature,29.38
0,12,2021-01-15T12:00:00Z,Depth,0.32
0,12,2021-01-15T12:00:00Z,Salinity,33.91601473
0,12,2021-01-15T12:00:00Z,Temperature,29.01
0,12,2021-01-15T12:00:10Z,Depth,0.313
0,12,2021-01-15T12:00:10Z,Salinity,33.89521224
0,12,2021-01-15T12:00:10Z,Temperature,29.03
0,12,2021-01-15T12:00:20Z,Depth,0.342
0,12,2021-01-15T12:00:20Z,Salinity,33.91784064
0,12,2021-01-15T12:00:20Z,Temperature,29.04
0,12,2021-01-15T12:00:30Z,Depth,0.33
0,12,2021-01-15T12:00:30Z,Salinity,33.90518064
0,12,2021-01-15T12:00:30Z,Temperature,29.03
0,12,2021-01-15T12:00:40Z,Depth,0.311
0,12,2021-01-15T12:00:40Z,Salinity,33.93807771
0,12,2021-01-15T12:00:40Z,Temperature,29.03
0,12,2021-01-15T12:00:50Z,Depth,0.306
0,12,2021-01-15T12:00:50Z,Salinity,33.90739729
0,12,2021-01-15T12:00:50Z,Temperature,29.05
0,13,2021-01-15T13:00:00Z,Depth,0.365
0,13,2021-01-15T13:00:00Z,Salinity,33.67987983
0,13,2021-01-15T13:00:00Z,Temperature,29.64
0,13,2021-01-15T13:00:10Z,Depth,0.399
0,13,2021-01-15T13:00:10Z,Salinity,33.77524923
0,13,2021-01-15T13:00:10Z,Temperature,29.41
0,13,2021-01-15T13:00:20Z,Depth,0.373
0,13,2021-01-15T13:00:20Z,Salinity,33.71689146
0,13,2021-01-15T13:00:20Z,Temperature,29.7
0,13,2021-01-15T13:00:30Z,Depth,0.363
0,13,2021-01-15T13:00:30Z,Salinity,33.68434
0,13,2021-01-15T13:00:30Z,Temperature,29.69
0,13,2021-01-15T13:00:40Z,Depth,0.394
0,13,2021-01-15T13:00:40Z,Salinity,33.70574964
0,13,2021-01-15T13:00:40Z,Temperature,29.65
0,13,2021-01-15T13:00:50Z,Depth,0.368
0,13,2021-01-15T13:00:50Z,Salinity,33.71228524
0,13,2021-01-15T13:00:50Z,Temperature,29.65
1,10,2021-01-15T10:01:00Z,Depth,0.298
1,10,2021-01-15T10:01:00Z,Salinity,34.33024477
1,10,2021-01-15T10:01:00Z,Temperature,29.12
1,10,2021-01-15T10:01:10Z,Depth,0.286
1,10,2021-01-15T10:01:10Z,Salinity,34.31590061
1,10,2021-01-15T10:01:10Z,Temperature,29.14
1,10,2021-01-15T10:01:20Z,Depth,0.293
1,10,2021-01-15T10:01:20Z,Salinity,34.33062136
1,10,2021-01-15T10:01:20Z,Temperature,29.11
1,10,2021-01-15T10:01:30Z,Depth,0.278
1,10,2021-01-15T10:01:30Z,Salinity,34.31003166
1,10,2021-01-15T10:01:30Z,Temperature,29.12
1,10,2021-01-15T10:01:40Z,Depth,0.259
1,10,2021-01-15T10:01:40Z,Salinity,34.33444378
1,10,2021-01-15T10:01:40Z,Temperature,29.1
1,10,2021-01-15T10:01:50Z,Depth,0.293
1,10,2021-01-15T10:01:50Z,Salinity,34.34162304
1,10,2021-01-15T10:01:50Z,Temperature,29.09
1,11,2021-01-15T11:01:00Z,Depth,0.24
1,11,2021-01-15T11:01:00Z,Salinity,33.50150455
1,11,2021-01-15T11:01:00Z,Temperature,29.39
1,11,2021-01-15T11:01:10Z,Depth,0.247
1,11,2021-01-15T11:01:10Z,Salinity,33.46956432
1,11,2021-01-15T11:01:10Z,Temperature,29.38
1,11,2021-01-15T11:01:20Z,Depth,0.25
1,11,2021-01-15T11:01:20Z,Salinity,33.42419058
1,11,2021-01-15T11:01:20Z,Temperature,29.38
1,11,2021-01-15T11:01:30Z,Depth,0.242
1,11,2021-01-15T11:01:30Z,Salinity,33.46906981
1,11,2021-01-15T11:01:30Z,Temperature,29.39
1,11,2021-01-15T11:01:40Z,Depth,0.231
1,11,2021-01-15T11:01:40Z,Salinity,33.45104967
1,11,2021-01-15T11:01:40Z,Temperature,29.36
1,11,2021-01-15T11:01:50Z,Depth,0.238
1,11,2021-01-15T11:01:50Z,Salinity,33.43987358
1,11,2021-01-15T11:01:50Z,Temperature,29.39
1,12,2021-01-15T12:01:00Z,Depth,0.284
1,12,2021-01-15T12:01:00Z,Salinity,33.93481569
1,12,2021-01-15T12:01:00Z,Temperature,29.03
1,12,2021-01-15T12:01:10Z,Depth,0.335
1,12,2021-01-15T12:01:10Z,Salinity,33.9673193
1,12,2021-01-15T12:01:10Z,Temperature,29.04
1,12,2021-01-15T12:01:20Z,Depth,0.309
1,12,2021-01-15T12:01:20Z,Salinity,33.93759587
1,12,2021-01-15T12:01:20Z,Temperature,29.04
1,12,2021-01-15T12:01:30Z,Depth,0.287
1,12,2021-01-15T12:01:30Z,Salinity,33.9112289
1,12,2021-01-15T12:01:30Z,Temperature,29.04
1,12,2021-01-15T12:01:40Z,Depth,0.342
1,12,2021-01-15T12:01:40Z,Salinity,33.91353262
1,12,2021-01-15T12:01:40Z,Temperature,29.06
1,12,2021-01-15T12:01:50Z,Depth,0.316
1,12,2021-01-15T12:01:50Z,Salinity,33.9003099
1,12,2021-01-15T12:01:50Z,Temperature,29.06
1,13,2021-01-15T13:01:00Z,Depth,0.332
1,13,2021-01-15T13:01:00Z,Salinity,33.73989893
1,13,2021-01-15T13:01:00Z,Temperature,29.62
1,13,2021-01-15T13:01:10Z,Depth,0.329
1,13,2021-01-15T13:01:10Z,Salinity,33.71687702
1,13,2021-01-15T13:01:10Z,Temperature,29.62
1,13,2021-01-15T13:01:20Z,Depth,0.33
1,13,2021-01-15T13:01:20Z,Salinity,33.71438368
1,13,2021-01-15T13:01:20Z,Temperature,29.6
1,13,2021-01-15T13:01:30Z,Depth,0.324
1,13,2021-01-15T13:01:30Z,Salinity,33.72883845
1,13,2021-01-15T13:01:30Z,Temperature,29.57
1,13,2021-01-15T13:01:40Z,Depth,0.339
1,13,2021-01-15T13:01:40Z,Salinity,33.7612842
1,13,2021-01-15T13:01:40Z,Temperature,29.58
1,13,2021-01-15T13:01:50Z,Depth,0.343
1,13,2021-01-15T13:01:50Z,Salinity,33.74284849
1,13,2021-01-15T13:01:50Z,Temperature,29.55
2,10,2021-01-15T10:02:00Z,Depth,0.283
2,10,2021-01-15T10:02:00Z,Salinity,34.33742291
2,10,2021-01-15T10:02:00Z,Temperature,29.11
2,10,2021-01-15T10:02:10Z,Depth,0.25
2,10,2021-01-15T10:02:10Z,Salinity,34.30378726
2,10,2021-01-15T10:02:10Z,Temperature,29.11
2,10,2021-01-15T10:02:20Z,Depth,0.295
2,10,2021-01-15T10:02:20Z,Salinity,34.24668204
2,10,2021-01-15T10:02:20Z,Temperature,29.11
2,10,2021-01-15T10:02:30Z,Depth,0.252
2,10,2021-01-15T10:02:30Z,Salinity,34.29707952
2,10,2021-01-15T10:02:30Z,Temperature,29.11
2,10,2021-01-15T10:02:40Z,Depth,0.252
2,10,2021-01-15T10:02:40Z,Salinity,34.24532887
2,10,2021-01-15T10:02:40Z,Temperature,29.14
2,10,2021-01-15T10:02:50Z,Depth,0.213
2,10,2021-01-15T10:02:50Z,Salinity,34.19752693
2,10,2021-01-15T10:02:50Z,Temperature,29.16
2,11,2021-01-15T11:02:00Z,Depth,0.254
2,11,2021-01-15T11:02:00Z,Salinity,33.43017246
2,11,2021-01-15T11:02:00Z,Temperature,29.39
2,11,2021-01-15T11:02:10Z,Depth,0.276
2,11,2021-01-15T11:02:10Z,Salinity,33.43017281
2,11,2021-01-15T11:02:10Z,Temperature,29.39
2,11,2021-01-15T11:02:20Z,Depth,0.278
2,11,2021-01-15T11:02:20Z,Salinity,33.44634251
2,11,2021-01-15T11:02:20Z,Temperature,29.39
2,11,2021-01-15T11:02:30Z,Depth,0.288
2,11,2021-01-15T11:02:30Z,Salinity,33.50565598
2,11,2021-01-15T11:02:30Z,Temperature,29.37
2,11,2021-01-15T11:02:40Z,Depth,0.243
2,11,2021-01-15T11:02:40Z,Salinity,33.55021596
2,11,2021-01-15T11:02:40Z,Temperature,29.39
2,11,2021-01-15T11:02:50Z,Depth,0.276
2,11,2021-01-15T11:02:50Z,Salinity,33.58327049
2,11,2021-01-15T11:02:50Z,Temperature,29.38
2,12,2021-01-15T12:02:00Z,Depth,0.29
2,12,2021-01-15T12:02:00Z,Salinity,33.89935616
2,12,2021-01-15T12:02:00Z,Temperature,29.08
2,12,2021-01-15T12:02:10Z,Depth,0.27
2,12,2021-01-15T12:02:10Z,Salinity,33.90031059
2,12,2021-01-15T12:02:10Z,Temperature,29.06
2,12,2021-01-15T12:02:20Z,Depth,0.297
2,12,2021-01-15T12:02:20Z,Salinity,33.89274806
2,12,2021-01-15T12:02:20Z,Temperature,29.08
2,12,2021-01-15T12:02:30Z,Depth,0.266
2,12,2021-01-15T12:02:30Z,Salinity,33.92340691
2,12,2021-01-15T12:02:30Z,Temperature,29.06
2,12,2021-01-15T12:02:40Z,Depth,0.271
2,12,2021-01-15T12:02:40Z,Salinity,33.89227272
2,12,2021-01-15T12:02:40Z,Temperature,29.09
2,12,2021-01-15T12:02:50Z,Depth,0.271
2,12,2021-01-15T12:02:50Z,Salinity,33.90826795
2,12,2021-01-15T12:02:50Z,Temperature,29.1
2,13,2021-01-15T13:02:00Z,Depth,0.361
2,13,2021-01-15T13:02:00Z,Salinity,33.73298207
2,13,2021-01-15T13:02:00Z,Temperature,29.55
2,13,2021-01-15T13:02:10Z,Depth,0.351
2,13,2021-01-15T13:02:10Z,Salinity,33.73492705
2,13,2021-01-15T13:02:10Z,Temperature,29.58
2,13,2021-01-15T13:02:20Z,Depth,0.355
2,13,2021-01-15T13:02:20Z,Salinity,33.74644153
